what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338936241599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1338936252129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1338936260628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1338936266659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936267883
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338936268603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936271989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936281726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936449251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936460258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936474928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936475506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936507906
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338936564950
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338936564973
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338936663342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936674516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936681572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936687146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936694686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936714482
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338936715109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936719692
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338936726948
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338936726987
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338936731335
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338936735375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1338936775437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936778163
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338936779508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936790638
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338936806232
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338936806255
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338936807340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936810512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936894870
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338936907095
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338936907787
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338936907828
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338936916546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1338936933484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936934940
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338936935674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936948388
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1338936955457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1338936982327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936985015
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338936985741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936989305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338936992179
